P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
-0.506625 NaN NaN -893.0849181955424 -896.1035490650518 NaN NaN NaN NaN -896.2410530158237 NaN NaN NaN NaN NaN NaN NaN NaN -890.6313324250679 NaN NaN NaN NaN NaN -890.0798792370554 -892.3549489283619 NaN NaN NaN
-0.2533125 -889.53335743829 NaN -891.9071010125235 -894.9883110364538 NaN -886.7877381070488 NaN -882.4599075379771 -895.1220221420299 -891.3889079752558 NaN NaN -888.9345694642137 -887.6489885570448 -887.5242216121109 NaN -880.0048320720553 -889.5707349896903 NaN NaN NaN NaN NaN -889.0353326088456 -891.3104051973917 NaN -895.8000305520027 -886.0100091501774
0. -888.2706556447667 NaN -890.7309605797418 -893.8744222574187 NaN -885.7375601406403 NaN -881.018943220714 -894.0043745921928 -890.3224606073909 -888.4261861008785 NaN -887.8437958877091 -886.448788600983 -886.3979567359704 NaN -879.0164774177538 -888.5115291302295 NaN NaN NaN NaN NaN -887.9921446986444 -890.2669935782166 NaN -894.6741581646985 -884.6844975655047
0.2533125 -887.0097081784784 NaN -889.5567158528343 -892.7619066940746 NaN -884.6928855986126 NaN -879.5818167278554 -892.8876263154168 -889.2573846181427 -887.3337891339693 -886.8481590598309 -886.7547617932807 -885.2502517689202 -885.2757621639631 NaN -878.0292055811454 -887.4537037868404 NaN NaN NaN NaN NaN -886.9502832595206 -889.2247133826143 NaN -893.5498235793718 -883.3606870021733
0.506625 -885.7495686153524 NaN -888.3849219105132 -891.6507678679808 NaN -883.6497420405519 NaN -878.1487080957337 -891.7722405644698 -888.1935273298277 -886.242794967934 -885.7384926421862 -885.6672432996086 -884.0540905297158 -884.1549708854069 NaN -877.0430223654001 -886.3972480806218 NaN NaN NaN NaN NaN -885.9097260568701 -888.1835627201567 NaN -892.4276404613645 -882.0375828125755
0.7599374999999999 -884.4921445104648 NaN -887.214267043072 -890.5409904366737 NaN -882.6052433199977 NaN -876.7193049587539 -890.6584593509591 -887.1308218353633 -885.1531957770433 -884.6302385470372 -884.580840602313 -882.8605862800497 -883.03439566907 NaN -876.0579125071246 -885.3421513340398 NaN NaN NaN NaN NaN -884.8704615534243 -887.1435384472495 NaN -891.3064117056124 -880.7170873270021
1.01325 -883.2387167869286 NaN -886.0438721205577 -889.4325591156405 NaN -881.5618476394109 NaN -875.2930591299315 -889.546045836762 -886.0693311895542 -884.0649837360795 -883.5233860737808 -883.4959350591569 -881.6692549217322 -881.9152696033846 NaN -875.0738404064691 -884.2884028698764 NaN NaN NaN NaN NaN -883.8324815700678 -886.1046374202824 NaN -890.1852718158054 -879.4005626784683
1.2665625 -881.9872465349358 NaN -884.8750989684792 -888.3254686028804 NaN -880.5195834348345 NaN -873.8699666001523 -888.4349615898756 -885.009039960065 -882.9781574884128 -882.4179484470192 -882.412707419948 -880.4801841925794 -880.7975753335486 NaN -874.0907951985771 -883.2359946991235 NaN NaN NaN NaN NaN -882.7957819502516 -885.0668399041292 NaN -889.0654790701452 -878.0859440934101
1.5198749999999999 -880.7368798959603 NaN -883.7085094205607 -887.2197087017164 NaN -879.4784458215878 NaN -872.4502542326869 -887.3251817139679 -883.9499386960762 -881.8927087014011 -881.3139387491012 -881.3309482562656 -879.2934464983647 -879.6812830915238 NaN -873.1087816087472 -882.1849213781061 NaN NaN NaN NaN NaN -881.7603585408887 -884.0301325535422 -879.6004394974204 -887.9474887927971 -876.7724526830838
1.7731875 -879.4885247616269 NaN -882.5435016966085 -886.1152608638513 NaN -878.4384216783858 NaN -871.0338191259513 -886.2167388679128 -882.8920240250135 -880.8086170140559 -880.2113242870741 -880.2506353933454 -878.1090755664095 -878.5664001671788 NaN -872.1277871979918 -881.1351521910308 NaN NaN NaN NaN NaN -880.7261965161814 -882.9945384444045 -878.5533511443733 -886.8307572204961 -875.4608605162149
