P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
-0.506625 NaN NaN NaN NaN NaN -909.3454869264062 NaN -905.1750553101614 -918.1747432285911 NaN NaN NaN NaN -910.3807691684976 -909.9854271816207 NaN -901.3347188277014 NaN NaN NaN NaN NaN NaN -911.3887528956591 NaN NaN NaN -908.6572808192332
-0.2533125 -910.8931463752888 NaN -913.8301830711486 -917.0648462122092 NaN -908.3329423758387 NaN -903.796873932622 -917.0890848063707 -912.9749221347579 NaN NaN NaN -909.2178091412975 -908.8758025927264 NaN -900.400747568106 -910.715135556241 NaN NaN NaN NaN NaN -910.3833549478322 -912.9100908769931 NaN -917.9760534534248 -907.3525512528365
0. -909.6688476333251 NaN -912.6785101547039 -915.9795337597968 NaN -907.3292390542388 NaN -902.4224861842213 -915.9978885638741 -911.9438431321801 NaN NaN NaN -908.0486598936332 -907.7698175411473 NaN -899.4702342184933 -909.6991554896842 NaN NaN NaN NaN NaN -909.3815882811541 -911.9046395743964 NaN -916.8702810526199 -906.0526758580994
0.2533125 -908.4415588368443 NaN -911.5324069736946 -914.892864615912 NaN -906.3040167863123 NaN -901.0077927328138 -914.9055034472714 -910.9065906239014 NaN -908.8889518921638 NaN -906.8702810898551 -906.675876636243 NaN -898.5276506389412 -908.676925980867 NaN NaN NaN NaN NaN -908.3711163160774 -910.8908980998615 NaN -915.7690591275677 -904.7531412099466
0.506625 -907.2153097080645 NaN -910.3920709518279 -913.809391933482 NaN -905.2817153832366 NaN -899.6009419264221 -913.8206886927331 -909.8762850132349 NaN -907.8029620908424 NaN -905.7136561359739 -905.5855420282946 NaN -897.5876508140033 -907.657826158767 NaN NaN NaN NaN NaN -907.363698023289 -909.8785529625585 NaN -914.6711492049055 -903.4539397602377
0.7599374999999999 -905.9887424588193 NaN -909.247639122572 -912.7231177918529 NaN -904.2678804074401 NaN -898.1993712315663 -912.7247596438381 -908.8444589829012 NaN -906.7300712085232 NaN -904.5521491034071 -904.4897841164184 NaN -896.6423738075796 -906.637768455608 NaN NaN NaN NaN NaN -906.3599132926373 -908.8698314965642 NaN -913.5709444941745 -902.1562785526459
1.01325 -904.7685693576251 NaN -908.0985861701994 -911.6394610075447 NaN -903.2573465305429 NaN -896.8059102712419 -911.631602340562 -907.8152016883876 NaN -905.6606433993456 NaN -903.3937125882244 -903.397702483365 NaN -895.6992826946619 -905.6204091165214 NaN NaN NaN NaN NaN -905.359319895651 -907.863968791374 NaN -912.4712892597354 -900.8594883255689
1.2665625 -903.553153584224 NaN -906.9555050783572 -910.555509980342 NaN -902.2607137836205 NaN -895.4537548486792 -910.547814860028 -906.7909791456325 NaN -904.5712872726635 NaN -902.2297855293987 -902.3001310593633 NaN -894.7617655553485 -904.5903660544564 NaN NaN NaN NaN NaN -904.3608553714047 -906.8563386922456 NaN -911.3763153717118 -899.5674755497146
1.5198749999999999 -902.3254278901993 NaN -905.8213252316116 -909.4750130678655 NaN -901.2655064379169 NaN -894.1013461423909 -909.4670898829938 -905.769385911962 NaN -903.485174000142 NaN -901.0703131109933 -901.2052560037646 NaN -893.8274170823888 -903.5634203235088 NaN NaN NaN NaN NaN -903.3656796441892 -905.8510465798215 NaN -910.2875034512083 -898.2803818516386
1.7731875 -901.1023976270549 NaN -904.6896518870353 -908.4006344271245 NaN -900.2442129178726 NaN -892.6923549781366 -908.3878144756643 -904.7404144492616 NaN -902.4093739600269 NaN -899.904868773952 -900.1145005253916 NaN -892.8907250966383 -902.5466017056892 NaN NaN NaN NaN NaN -902.3763213616834 -904.8546040454376 NaN -909.1960067059633 -896.9977944038249
2.0265 -899.8870670469995 NaN -903.5484246600083 -907.3285401624266 NaN -899.2256413792356 NaN -891.2905087867524 -907.3109805524389 -903.7142407978189 NaN -901.3377867452627 NaN -898.744430346349 -899.027266347293 NaN -891.9566555716794 -901.5335231983013 NaN NaN NaN NaN NaN -901.3902234194494 -903.8613820692328 NaN -908.1063844722783 -895.7131053663525
2.2798125 -898.6755699164489 NaN -902.4109919190204 -906.2546604568504 NaN -898.2185014111034 NaN -889.9279034770259 -906.2221161606562 -902.6774020402515 NaN -900.2706065354179 NaN -897.5981620156045 -897.9238759539094 NaN -891.0295360608527 -900.5137638497004 NaN NaN NaN NaN NaN -900.3827041636291 -902.837361392113 NaN -907.0197258089892 -894.4315855131799
2.533125 -897.4613050369338 NaN -901.2782713953306 -905.1812382471587 NaN -897.2142559167214 NaN -888.5771587455359 -905.1363839856011 -901.6431431445646 NaN -899.2067433277755 NaN -896.4575416434179 -896.8241530083928 NaN -890.1059288590843 -899.4965710860749 NaN NaN NaN NaN NaN -899.3780669619616 -901.8158436837908 NaN -905.9361470918141 -893.1399400975364
2.7864375 -896.2504100672327 NaN -900.1474746265774 -904.1014182324525 NaN -896.2002665618171 NaN -887.2063844113196 -904.0624470390924 -900.6210876046059 NaN -898.1366427774695 NaN -895.304990001932 NaN NaN -889.1701044051385 -898.4887485292231 NaN NaN NaN NaN NaN -898.3790428850373 -900.814598399674 NaN -904.8502365533031 -891.8528912629936
3.0397499999999997 -895.0361948845027 NaN -899.0081302010294 -903.0239447449001 NaN -895.1892067939473 NaN -885.840738212331 -902.9915080120202 -899.6018022680533 NaN -897.0685400917233 NaN -894.1573290363644 NaN NaN -888.236035877608 -897.4841126469643 NaN NaN NaN NaN NaN -897.3830523148756 -899.8188011489472 NaN -903.7568993855189 -890.57933691586
3.2930625 -893.8259690960306 NaN -897.8727045628398 -901.9467156530893 NaN -894.1906644276744 NaN -884.4584338206874 -901.9116927338753 -898.577451655648 NaN -896.0017677332428 NaN -893.0169442196047 NaN NaN -887.296456196722 -896.4709705114384 NaN NaN NaN NaN NaN -896.3940799475695 -898.8220397620014 NaN -902.6676611867717 -889.3095945794507
3.546375 -892.6147704568571 NaN -896.7468462852935 -900.8724432556778 NaN -893.1943683565987 NaN -883.0832964672736 -900.8345618382684 -897.5551121483611 NaN -894.9376947446285 NaN -891.881163210639 NaN NaN -886.3594286425296 -895.4603185717724 NaN NaN NaN NaN NaN -895.4083549664398 -897.827205334911 NaN -901.5840882024913 -888.0317220571519
3.7996874999999997 -891.4082456776946 NaN -895.6227935893379 -899.801496472289 NaN -892.184512788391 NaN -881.7450692306794 -899.753126467998 -896.53225023957 NaN -893.8725317941924 NaN -890.7333654017007 NaN NaN -885.4206917418174 -894.4472195000965 NaN NaN NaN NaN NaN -894.4109606992374 -896.8274100087232 NaN -900.4993085443398 -886.758535121507
4.053 -890.2102910959744 NaN -894.4856966006585 -898.7339435933857 NaN -891.1777511730004 NaN -880.4011442943236 -898.6737996375821 -895.512066840051 NaN -892.8094261874417 NaN -889.5901545614729 NaN NaN -884.4844453406802 -893.4368496728937 NaN NaN NaN NaN NaN -893.4159853066262 -895.8287254359287 NaN -899.4062809012828 -885.4945762936878
